"lat","lon","num_flr","retrofit","struc_type","occ_day"
27.6777367,85.3198606,"2","Yes","Mud_Brick_in_Surkhi",25
27.6782172,85.4321546,"5","Yes","Engineered_RC_Frame",600
27.6991598,85.3516282,"2","Yes","Non_Engineered_RC_Frame",55
27.6420727,85.3736484,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",130
27.6419698,85.3738573,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",60
27.6515029,85.3068801,"2","Yes","Mixed",5
27.6735238,85.4324219,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",26
27.6562024,85.296147,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",35
27.7272832,85.320834,"1","Yes","Mixed",40
27.7242623,85.3328651,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",20
27.6680023,85.4043929,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",83
27.7032041,85.4283729,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",20
27.6900931,85.3321063,"5","Yes","Non_Engineered_RC_Frame",570
27.6493193,85.4510189,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",105
27.6710969,85.425082,"3","Yes","Engineered_RC_Frame",534
27.6731794,85.3436109,"1","Yes","Mixed",40
27.638766,85.4151225,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",45
27.6829165,85.3666882,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",70
27.6850501,85.3861595,"2","Yes","Engineered_RC_Frame",200
27.6610085,85.347657,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",115
27.678281,85.473484,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",150
27.7454307,85.3112925,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",92
27.6761779,85.383646,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",105
27.6760071,85.3837302,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",45
27.6919926,85.4754857,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",88
27.6949683,85.4895911,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",80
27.7259216,85.3649577,"4","Yes","Non_Engineered_RC_Frame",200
27.7164126,85.3457316,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",800
27.6792404,85.3201774,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",36
27.675766,85.3169895,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",150
27.6756605,85.2785628,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",218
27.6723459,85.328243,"4","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",274
27.673612,85.3260098,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",200
27.6800764,85.3378264,"3","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",40
27.6671961,85.3293752,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",150
27.6738848,85.3182073,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",4
27.6741986,85.3291597,"2","Yes","Mixed",300
27.7226118,85.3858616,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",60
27.6707186,85.3023651,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",74
27.7515089,85.4317811,"2","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",153
27.5668627,85.3416185,"1","Yes","Load_Bearing_Stone_Wall_in_Cement_Mortar",106
27.6763849,85.2349058,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",4
27.7034781,85.1919161,"1","Yes","Load_Bearing_Stone_Wall_in_Mud_Mortar",73
27.7025472,85.2359023,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",3
27.623615,85.3944489,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",30
27.6142846,85.3224144,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",50
27.6140245,85.3225038,"1","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",120
27.7577157,85.2784857,"2","Yes","Non_Engineered_RC_Frame",180
27.7504054,85.4393759,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",12
27.6506853,85.3834807,"1","Yes","Non_Engineered_RC_Frame",65
27.6522593,85.3746036,"2","Yes","Non_Engineered_RC_Frame",1
27.6589995,85.3703199,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",63
27.6822477,85.3546237,"1","Yes","Engineered_RC_Frame",83
27.6821852,85.3548235,"3","Yes","Non_Engineered_RC_Frame",220
27.6262238,85.3506393,"1","Yes","Mixed",40
27.6274738,85.3487629,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",147
27.6275133,85.3485048,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",200
27.618956,85.3549314,"1","Yes","Non_Engineered_RC_Frame",60
27.6356049,85.3051465,"2","Yes","Mixed",123
27.6743072,85.3630294,"3","Yes","Load_Bearing_Brick_Wall_in_Mud_Mortar",386
27.6676012,85.3092133,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",240
27.6665127,85.3232272,"2","Yes","Mixed",240
27.703107,85.3247078,"1","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",50
27.7373265,85.3082451,"3","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",414
27.7379871,85.3149427,"3","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",60
27.6043488,85.2926714,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",75
27.7057882,85.2549864,"2","Yes","Load_Bearing_Brick_Wall_in_Cement_Mortar",3
27.7055844,85.2547694,"2","Yes","Non_Engineered_RC_Frame",200
27.5896635,85.2882763,"1","Yes","Engineered_RC_Frame",50
27.589497,85.2882381,"2","Yes","Engineered_RC_Frame",50
